model	objective	reaction	flux	status	minimum	maximum
iUL909.xml	obj	R_10FTHFtm	-0.010756	optimal	-0.010756	-0.010756
iUL909.xml	obj	R_12DGRter	0.0	optimal	-0.049742	0.0
iUL909.xml	obj	R_13BGH	0.0	optimal	0.0	0.0
iUL909.xml	obj	R_13BGHe	0.0	optimal	0.0	0.0
iUL909.xml	obj	R_13DAMPPO	0.0	optimal	0.0	0.0
iUL909.xml	obj	R_13GS	1.263125	optimal	1.263125	1.263125
iUL909.xml	obj	R_16GS	0.0	optimal	0.0	0.0
iUL909.xml	obj	R_16MANASE	0.0	optimal	0.0	0.0
iUL909.xml	obj	R_1PYR5Ctm	0.136779	optimal	0.136779	0.136779
iUL909.xml	obj	R_23CAMPH	0.0	optimal	0.0	0.0
iUL909.xml	obj	R_23DHMPtm	0.0	optimal	0.0	0.0
iUL909.xml	obj	R_25DAPTPM	1e-06	optimal	1e-06	1e-06
iUL909.xml	obj	R_2DDA7Ptm	-0.242981	optimal	-0.242981	-0.242981
iUL909.xml	obj	R_2DHPtm	0.000172	optimal	0.000172	0.000172
iUL909.xml	obj	R_2DOXG6PP	0.0	optimal	0.0	0.0
iUL909.xml	obj	R_2HBO	0.0	optimal	0.0	0.0
iUL909.xml	obj	R_2HBt2	0.0	optimal	0.0	0.0
iUL909.xml	obj	R_2HETHPPtm	0.0	optimal	0.0	0.0
iUL909.xml	obj	R_2HMHMBQMTm	1e-06	optimal	1e-06	1e-06
iUL909.xml	obj	R_2HP6MPMOm	1e-06	optimal	1e-06	1e-06
iUL909.xml	obj	R_2HPMBQMTm	1e-06	optimal	1e-06	1e-06
iUL909.xml	obj	R_2HPMMBQMOm	1e-06	optimal	1e-06	1e-06
iUL909.xml	obj	R_2MBACt	0.0	optimal	0.0	0.0
iUL909.xml	obj	R_2MBALDt	0.0	optimal	0.0	0.0
iUL909.xml	obj	R_2MBALDtm	0.0	optimal	0.0	0.0
iUL909.xml	obj	R_2MBTOHt	0.0	optimal	0.0	0.0
iUL909.xml	obj	R_2MBTOHtm	0.0	optimal	0.0	0.0
iUL909.xml	obj	R_2MOPtm	0.0	optimal	0.0	0.0
iUL909.xml	obj	R_2MPPALt	0.0	optimal	0.0	0.0
iUL909.xml	obj	R_2MPPALtm	0.0	optimal	0.0	0.0
iUL909.xml	obj	R_2OBUTtm	0.15992	optimal	0.15992	0.15992
iUL909.xml	obj	R_2OXOADOX	0.896958	optimal	0.896958	1.069155
iUL909.xml	obj	R_2OXOADPTm	1.129606	optimal	-997.969206	1.301803
iUL909.xml	obj	R_2OXOADPtim	0.0	optimal	0.0	999.271009
iUL909.xml	obj	R_2PHETOHt	0.0	optimal	0.0	0.0
iUL909.xml	obj	R_2PHETOHtm	0.0	optimal	0.0	0.0
iUL909.xml	obj	R_34HPLFM	0.0	optimal	0.0	0.0
iUL909.xml	obj	R_34HPPOR	0.0	optimal	0.0	0.0
iUL909.xml	obj	R_34HPPt2m	0.0	optimal	0.0	0.0
iUL909.xml	obj	R_34HPPt2p	0.0	optimal	0.0	0.0
iUL909.xml	obj	R_3C3HMPt	0.0	optimal	0.0	0.0
iUL909.xml	obj	R_3C3HMPtm	-0.254549	optimal	-0.254549	0.0
iUL909.xml	obj	R_3C4MOPtm	0.254549	optimal	0.254549	0.254549
iUL909.xml	obj	R_3DH5HPBMTm	1e-06	optimal	1e-06	1e-06
iUL909.xml	obj	R_3DH5HPBtm	0.0	optimal	0.0	0.0
iUL909.xml	obj	R_3DSPHR	0.00063	optimal	0.00063	0.00063
iUL909.xml	obj	R_3H3M2OPR	0.15992	optimal	0.15992	0.15992
iUL909.xml	obj	R_3H3M2OPS	0.15992	optimal	0.15992	0.15992
iUL909.xml	obj	R_3HAD100m	0.0	optimal	0.0	0.0
iUL909.xml	obj	R_3HAD120m	0.0	optimal	0.0	0.0
iUL909.xml	obj	R_3HAD140m	0.0	optimal	0.0	0.0
iUL909.xml	obj	R_3HAD160m	0.0	optimal	0.0	0.0
iUL909.xml	obj	R_3HAD180m	0.0	optimal	0.0	0.0
iUL909.xml	obj	R_3HAD40m	0.0	optimal	0.0	0.0
iUL909.xml	obj	R_3HAD60m	0.0	optimal	0.0	0.0
iUL909.xml	obj	R_3HAD80m	0.0	optimal	0.0	0.0
iUL909.xml	obj	R_3HAO	0.0	optimal	0.0	0.0
