model	objective	gene	status	value
iUL909.xml	obj	G_OGAPODRAFT_100017	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_100096	optimal	1.058259
iUL909.xml	obj	G_OGAPODRAFT_100157	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_100208	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_100225	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_100320	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_100410	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_100799	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_100800	optimal	0.0
iUL909.xml	obj	G_OGAPODRAFT_100864	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_100977	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_101019	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_101109	optimal	0.0
iUL909.xml	obj	G_OGAPODRAFT_101226	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_101240	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_101342	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_101391	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_101393	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_101426	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_101456	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_101503	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_101505	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_101511	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_101532	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_101659	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_101866	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_102034	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_102080	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_102119	optimal	0.0
iUL909.xml	obj	G_OGAPODRAFT_102122	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_102168	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_102327	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_102344	optimal	0.980357
iUL909.xml	obj	G_OGAPODRAFT_102407	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_102448	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_102504	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_102519	optimal	0.0
iUL909.xml	obj	G_OGAPODRAFT_102625	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_102895	optimal	1.108485
iUL909.xml	obj	G_OGAPODRAFT_102982	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_102999	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_103051	optimal	0.0
iUL909.xml	obj	G_OGAPODRAFT_103118	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_103143	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_103146	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_103253	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_103274	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_103496	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_103592	optimal	0.0
iUL909.xml	obj	G_OGAPODRAFT_103653	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_103659	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_103670	optimal	0.0
iUL909.xml	obj	G_OGAPODRAFT_10418	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_10662	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_10669	optimal	0.0
iUL909.xml	obj	G_OGAPODRAFT_10782	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_11046	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_11645	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_11793	optimal	0.0
iUL909.xml	obj	G_OGAPODRAFT_12267	optimal	0.0
iUL909.xml	obj	G_OGAPODRAFT_12336	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_12856	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_12974	optimal	1.116718
iUL909.xml	obj	G_OGAPODRAFT_13100	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_13274	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_13298	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_13381	optimal	0.805031
iUL909.xml	obj	G_OGAPODRAFT_13455	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_13669	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_13736	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_13838	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_14111	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_14634	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15037	optimal	0.0
iUL909.xml	obj	G_OGAPODRAFT_15038	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15039	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15040	optimal	0.805031
iUL909.xml	obj	G_OGAPODRAFT_15042	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15046	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15049	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15059	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15060	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15063	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15072	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15082	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15090	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15108	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15133	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15141	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15144	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15152	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15154	optimal	0.0
iUL909.xml	obj	G_OGAPODRAFT_15166	optimal	0.0
iUL909.xml	obj	G_OGAPODRAFT_15169	optimal	0.0
iUL909.xml	obj	G_OGAPODRAFT_15178	optimal	0.0
iUL909.xml	obj	G_OGAPODRAFT_15185	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15189	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15190	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15195	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15199	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15208	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15212	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15214	optimal	0.0
iUL909.xml	obj	G_OGAPODRAFT_15216	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15223	optimal	0.970034
iUL909.xml	obj	G_OGAPODRAFT_15228	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15232	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15233	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15250	optimal	0.0
iUL909.xml	obj	G_OGAPODRAFT_15252	optimal	0.336832
iUL909.xml	obj	G_OGAPODRAFT_15255	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15256	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15259	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15277	optimal	0.970034
iUL909.xml	obj	G_OGAPODRAFT_15283	optimal	0.804541
